repo,pr_number,category,pr_url,commit,commit_url,initial_flag,refactoring_type,refactoring_detail,confirmed_refactoring_flag,covered_refactoring_flag,floss_refactoring_flag,notes
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,f71ae067a091c8ddbfa86ceac6cd3d3c164500b4,https://github.com/apache/flink/commit/f71ae067a091c8ddbfa86ceac6cd3d3c164500b4,False,Move And Rename Class,org.apache.flink.table.dataformat.DataFormatUtilTest moved and renamed to org.apache.flink.table.runtime.sort.SortUtilTest,true,true,false,Refactoring applied to indirectly address a review comment (concerning the previous refactoring).
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,f71ae067a091c8ddbfa86ceac6cd3d3c164500b4,https://github.com/apache/flink/commit/f71ae067a091c8ddbfa86ceac6cd3d3c164500b4,False,Rename Class,org.apache.flink.api.common.typeutils.base.ComparatorUtil renamed to org.apache.flink.api.common.typeutils.base.NormalizedKeyUtil,true,true,false,Addressing a review comment | Refactoring directly suggested by a reviewer.
apache/flink,9143,refactoring-inducing PR,https://github.com/apache/flink/pull/9143,61fa293f3d16f5f6f3d6b0e99bc392a2ba5b967e,https://github.com/apache/flink/commit/61fa293f3d16f5f6f3d6b0e99bc392a2ba5b967e,True,,,,,,PR comprises corrective changes (fixing faults) | A flinkbot does a checklist and suggests a PR review guide.
apache/flink,9143,refactoring-inducing PR,https://github.com/apache/flink/pull/9143,f9d2fe669ceb5e82375ce22fc9bcabafd44948ff,https://github.com/apache/flink/commit/f9d2fe669ceb5e82375ce22fc9bcabafd44948ff,False,Rename Variable,waitingLatch : CompletableFuture<Void> to operatorRunningWaitingFuture : CompletableFuture<Void> in method public cancellingForwardsExceptions() : void in class org.apache.flink.streaming.runtime.tasks.SourceStreamTaskTest,true,true,false,Addressing a review comment | Refactoring directly suggested by a reviewer (a direct review comment with a subtle question concerning logic).
apache/flink,9143,refactoring-inducing PR,https://github.com/apache/flink/pull/9143,f9d2fe669ceb5e82375ce22fc9bcabafd44948ff,https://github.com/apache/flink/commit/f9d2fe669ceb5e82375ce22fc9bcabafd44948ff,False,Rename Variable,waitingLatch : CompletableFuture<Void> to operatorRunningWaitingFuture : CompletableFuture<Void> in method public finishingIgnoresExceptions() : void in class org.apache.flink.streaming.runtime.tasks.SourceStreamTaskTest,true,true,false,Idem.
apache/flink,9143,refactoring-inducing PR,https://github.com/apache/flink/pull/9143,b99556d9f1e022766e6d281d6e507a74539a08ef,https://github.com/apache/flink/commit/b99556d9f1e022766e6d281d6e507a74539a08ef,False,Rename Method,public setIsInRunLoop(waitingLatch CompletableFuture<Void>) : void renamed to public setIsInRunLoopFuture(waitingLatch CompletableFuture<Void>) : void in class org.apache.flink.streaming.runtime.tasks.SourceStreamTaskTest.ExceptionThrowingSource,true,true,true,Addressing a review comment | Refactoring directly suggested by a reviewer | A print() method was removed.
apache/dubbo,2279,refactoring-inducing PR,https://github.com/apache/dubbo/pull/2279,f6dbac583b42815771b7fba029120fafccddb064,https://github.com/apache/dubbo/commit/f6dbac583b42815771b7fba029120fafccddb064,True,,,,,,PR comprises adaptive changes (adding a new feature) and corrective (fixing a bug) | No bot.
apache/dubbo,2279,refactoring-inducing PR,https://github.com/apache/dubbo/pull/2279,c5ba50bb49395b29518d8c48707e0a1e160ffccc,https://github.com/apache/dubbo/commit/c5ba50bb49395b29518d8c48707e0a1e160ffccc,True,,,,,,
apache/dubbo,2279,refactoring-inducing PR,https://github.com/apache/dubbo/pull/2279,55fe6ff12e112728808ce921bafa9f98f8302db9,https://github.com/apache/dubbo/commit/55fe6ff12e112728808ce921bafa9f98f8302db9,False,Change Variable Type,appenderCollection : Collection<Appender> to iterator : Iterator<Appender> in method public Log4j2LoggerAdapter() in class org.apache.dubbo.common.logger.log4j2.Log4j2LoggerAdapter,true,true,false,Addressing a review comment | A direct review comment concerning Collection useless.
apache/dubbo,2279,refactoring-inducing PR,https://github.com/apache/dubbo/pull/2279,55fe6ff12e112728808ce921bafa9f98f8302db9,https://github.com/apache/dubbo/commit/55fe6ff12e112728808ce921bafa9f98f8302db9,False,Rename Variable,appenderCollection : Collection<Appender> to iterator : Iterator<Appender> in method public Log4j2LoggerAdapter() in class org.apache.dubbo.common.logger.log4j2.Log4j2LoggerAdapter,true,true,false,Indirectly induced by reviewer suggested Collection was useless
apache/dubbo,2279,refactoring-inducing PR,https://github.com/apache/dubbo/pull/2279,9328d1557394463b56d705d574b469db23829e2e,https://github.com/apache/dubbo/commit/9328d1557394463b56d705d574b469db23829e2e,False,Rename Method,private toLog4jLevel(level Level) : Level renamed to private toLog4j2Level(level Level) : Level in class org.apache.dubbo.common.logger.log4j2.Log4j2LoggerAdapter,true,false,false,No notes.
apache/dubbo,2279,refactoring-inducing PR,https://github.com/apache/dubbo/pull/2279,9328d1557394463b56d705d574b469db23829e2e,https://github.com/apache/dubbo/commit/9328d1557394463b56d705d574b469db23829e2e,False,Rename Method,private fromLog4jLevel(level Level) : Level renamed to private fromLog4j2Level(level Level) : Level in class org.apache.dubbo.common.logger.log4j2.Log4j2LoggerAdapter,true,false,false,No notes.
apache/incubator-iotdb,342,non-refactoring-inducing PR,https://github.com/apache/incubator-iotdb/pull/342,4a074cd5f5c1cfd86020f1c4c0210230b6dc4d6e,https://github.com/apache/incubator-iotdb/commit/4a074cd5f5c1cfd86020f1c4c0210230b6dc4d6e,True,,,,,,"PR comprises adaptive changes (adding a new feature) | No bot. | No review comments in Java code, but direct questions regarding code logic (in other types of files)."
